resolution,train_s,eval_s,quant,accuracy,inference_single_ms,model_size_kb,conversion_s
256x256,869.451623213,29.127261146999444,float32,0.8859259259259259,84.44050719999723,1112.4404296875,
256x256,869.451623213,29.127261146999444,int8,0.912,8.347543454001425,120.7734375,35.3539889700005
256x256,869.451623213,29.127261146999444,int16,0.898,69.45442828999876,141.8828125,67.82510641699992
128x128,531.9744455939999,26.069838581000113,float32,0.702962962962963,71.80720395996104,1112.294921875,
128x128,531.9744455939999,26.069838581000113,int8,0.706,6.778984634000153,120.7734375,31.812623103000078
128x128,531.9744455939999,26.069838581000113,int16,0.71,23.83909741000025,141.8828125,58.95214326800033
96x96,534.5688829830005,26.955132828000387,float32,0.7622222222222222,77.86242468000637,1112.2861328125,
96x96,534.5688829830005,26.955132828000387,int8,0.758,6.33673710200128,120.65625,30.05626248199951
96x96,534.5688829830005,26.955132828000387,int16,0.746,19.592488558000696,141.765625,59.78830180899968
